project,status,owner,operator,output,size,coal_type,coal_grade,type,workforce,country,region,url,lat,lng
Shadashak Coal Mine,operating,North Coal Enterprise (NCE),North Coal Enterprise (NCE),1.1,,Bituminous,met,underground,,Afghanistan,Africa & Middle East,https://www.gem.wiki/Shadashak_Coal_Mine,35.863255,67.596674
Airly Coal Mine,operating,Centennial Coal,Centennial Airly Pty Ltd,1.8,34,Bituminous,thermal,underground,140,Australia,Australia & NZ,https://www.gem.wiki/Airly_Mine,-33.12900777,149.975
Alpha North Coal Mine,proposed,Mineralogy,Waratah Coal,46,1400,Subbituminous,thermal,underground_and_surface,2325,Australia,Australia & NZ,https://www.gem.wiki/Alpha_North_coal_project,-22.385333,146.340917
Alpha North Coal Mine,proposed,Mineralogy,Waratah Coal,10,1400,Subbituminous,thermal,underground_and_surface,,Australia,Australia & NZ,https://www.gem.wiki/Alpha_North_coal_project,-22.385333,146.340917
Angus Place Coal Mine,operating,"Centennial Springvale, Springvale SK Kores",Centennial Angus Place,2.5,30,Bituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Angus Place Coal Mine,proposed,Centennial Coal Company,Centennial Angus Place,4,30,Subbituminous,thermal,underground,,Australia,Australia & NZ,https://www.gem.wiki/Angus_Place_Colliery,-33.349157,150.199019
Appin Coal Mine,operating,South32,Illawarra Coal,7.5,141,Bituminous,met,underground,875,Australia,Australia & NZ,https://www.gem.wiki/Appin_mine,-34.211194,150.792736
Aquila Coal Mine,proposed,"Anglo American (70%), Mitsui & Company (30%)",Mastermyne,3.5,38,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Aquila_Mine,-22.990997,148.580506
Ashton Coal Mine,operating,Yancoal,Ashton Coal Operations,5.5,47,Bituminous,thermal_and_met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Ashton Coal Mine,proposed,Yancoal,Ashton Coal Operations,3.6,47,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Ashton_coal_project,-32.468942,151.078493
Baralaba Coal Mine,proposed,Peabody Energy,Baralaba Coal Company,1.9,39,Bituminous,thermal_and_met,surface,275,Australia,Australia & NZ,https://www.gem.wiki/Baralaba_coal_mine,-24.256025,149.851007
Baralaba Coal Mine,operating,Baralaba Coal Company,Wonbindi Coal,4.1,79,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Baralaba_coal_mine,-24.256025,149.851007
Belview Coal Mine,proposed,Golden Energy Mines,Stanmore Coal,2.6,330,Bituminous,met,underground,,Australia,Australia & NZ,https://www.gem.wiki/Belview_coal_project,-23.587132,148.977385
Bengalla Coal Mine,operating,Yancoal,Coal and Allied Industries,8.3,229,Lignite,thermal,surface,420,Australia,Australia & NZ,https://www.gem.wiki/Bengalla_mine,-32.268076,150.84
Blackwater Coal Mine,operating,"BHP (50%), Mitsubishi Corporation (50%)","Queensland Coal, BHP Mitsubishi Alliance (BMA)",14,375,Bituminous,thermal_and_met,surface,1530,Australia,Australia & NZ,https://www.gem.wiki/Blackwater_mine,-23.685585,148.807361
Blair Athol Coal Mine,operating,TerraCom Ltd,Orion Mining,3,,Subbituminous,thermal,surface,,Australia,Australia & NZ,https://www.gem.wiki/Blair_Athol_mine,-22.703221,147.54353
Bloomfield Coal Mine,operating,Bloomfield Group of Companies,Bloomfield Collieries Pty Ltd,1.3,14,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Bloomfield_Mine_and_Colliery ,-32.7928986,151.5841947
Boggabri Coal Mine,operating,Idemitsu Australia Resources,Boggabri Coal Pty Ltd,7,145,Bituminous,thermal_and_met,surface,,Australia,Australia & NZ,https://www.gem.wiki/Boggabri_coal_mine,-30.6116182,150.1550389
