project,owner,status,countries,type,lat,lng,route,url,capacity1,capacity_unit1
Ionian Adriatic Gas Pipeline (IAP),"SOCAR, 100.00%",proposed,"Albania, Bosnia and Herzegovina, Croatia",Gas,,,"43.5995, 16.3946: 43.6098, 16.5395: 43.596, 16.593: 43.565, 16.6516: 43.5029, 16.7672: 43.4667, 16.8224: 43.4356, 16.881: 43.3735, 16.9966: 43.3235, 17.0345: 43.2735, 17.0725: 43.2338, 17.1139: 43.1976, 17.1742: 43.17, 17.2398: 43.1476, 17.2984: 43.0682, 17.4105: 43.0544, 17.4761: 43.0148, 17.5399: 42.9199, 17.5433: 42.863, 17.5606: 42.8181, 17.7676: 42.8059, 17.8319: 42.7343, 17.9502: 42.6969, 18.0731: 42.5522, 18.319: 42.4619, 18.4326: 42.4557, 18.4824: 42.4308, 18.5447: 42.4184, 18.5945: 42.3748, 18.6521: 42.3405, 18.6988: 42.3032, 18.7563: 42.2845, 18.7937: 42.2129, 18.8341: 42.1631, 18.8637: 42.1351, 18.9291: 42.1149, 18.9851: 42.0651, 19.0411: 42.0252, 19.0851: 41.9221, 19.2523: 41.8887, 19.4055: 41.9221, 19.4417: 41.8692, 19.5782: 41.8386, 19.6478: 41.8246, 19.6785: 41.6937, 19.6757: 41.4764, 19.6646: 41.3093, 19.6646: 41.248, 19.6673: 41.1895, 19.6646: 41.0864, 19.6534: 41.0251, 19.6451: 40.9666, 19.6339: 40.9304, 19.6339: 40.8691, 19.6061: 40.8078, 19.5838: 40.7554, 19.5691: 40.5767, 19.5184: 40.5101, 19.4856: 40.4847, 19.5014",https://www.gem.wiki/Ionian_Adriatic_Gas_Pipeline,"82,828",BOE/d
Eagle FLNG Pipeline,Gruppo Falcione,cancelled,"Italy, Albania",Gas,,,"40.683333,19.483333:40.645137,17.609292",https://www.gem.wiki/Eagle_FLNG_Pipeline,"165,655.00",BOE/d
Maghreb-Europe Gas Pipeline,"Sonatrach, Government of Morocco, Enagás, SaskEnergy",operating,"Algeria, Morocco, Spain",Gas,,,"32.9358193,3.2514804:33.3306283,-0.3197216:34.1020293,-1.6638716:34.1247633,-3.8063346:34.0974733,-4.0521966:35.7601872,-5.8496215:36.2445712,-6.0776305:37.0291612,-5.9403875:37.5288812,-5.0995865",https://www.gem.wiki/Maghreb-Europe_Gas_Pipeline,"198,786.00",BOE/d
Gassi Touil-Hassi Messaoud Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"30.4758,6.4776:30.5364,6.5094:30.8708,6.464:31.6038,6.0677:31.671,6.0556",https://www.gem.wiki/Gassi_Touil-Hassi_Messaoud_Gas_Pipeline,"108,605.70",BOE/d
Haoudh El Hamra-Arzew Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"32.0173,5.7348:31.9547,5.2074:32.3079,4.3567:32.9361,3.2516:33.7654,2.8099:33.9366,2.6152:34.6854,2.1151:34.9698,1.5699:35.3447,1.3004:35.727,0.7192:35.6148,-0.0411:35.8093,-0.2617",https://www.gem.wiki/Haoudh_El_Hamra-Arzew_Gas_Pipeline,,
Hassi R'Mel-Arzew Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"32.34731415,3.331794904:35.29040295,1.069974237:35.84376217,-0.3388151977",https://www.gem.wiki/Hassi_R'Mel-Arzew_Gas_Pipeline,"112,455.17",BOE/d
Hassi R'Mel-Isser Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"32.928,3.291:34.330,3.614:35.560,3.007:36.710,3.664",https://www.gem.wiki/Hassi_R'mel-Isser_Gas_Pipeline,,
Hassi R'Mel-Skikda Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"32.972,3.283:35.751,5.670:36.370,6.669:36.88,6.947",https://www.gem.wiki/Hassi_R'Mel-Skikda_Gas_Pipeline,,
In Salah Gas Pipeline,"Sonatrach, 35.00%, BP, 33.15%, Equinor, 31.85%",operating,Algeria,Gas,,,"27.5595,2.4846:28.0665,2.1336:28.573121,2.404000:29.090823,2.215693:30.4219,2.9551:31.0414,3.0778:31.4653,3.0446:31.8042,2.9625:32.6619,3.1114:32.9361,3.2516",https://www.gem.wiki/In_Salah_Gas_Pipeline,"149,089.50",BOE/d
Rhourd Ennous-Hassi R'Mel Gas Pipeline,"Sonatrach, 100.00%",operating,Algeria,Gas,,,"29.6963,6.7133:29.7476,6.596:30.8708,6.464:31.7917,5.9015:31.8834,5.7715:31.9547,5.2074:32.3079,4.3567:32.9361,3.2516",https://www.gem.wiki/Rhourd_Ennous-Hassi_R'mel_Gas_Pipeline,"198,786.00",BOE/d
