project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
GHC Emirates Steel Industries plant,حديد الإمارات (Arabic),General Holding Company (GHC),Emirates Steel Industries Co. PJS,state-owned,Abu Dhabi,United Arab Emirates,Western Asia,operating,3100,1900,integrated_DRI,"DRI, EAF",https://www.gem.wiki/GHC_Emirates_Steel_Industries_plant,24.322033,54.467987
ArcelMittal Acindar steel plant,Planta siderúrgica Acindar (Spanish),ArcelorMittal,Acindar Industria Argentina de Aceros SA (Acindar Grupo ArcelorMittal),private,Santa Fe,Argentina,Latin America and the Caribbean,operating,1750,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/ArcelorMittal_Acindar_steel_plant,-33.249936,-60.300415
TenarisSiderca Seamless Tubes Mill steel plant,Planta siderúrgica TenarisSiderca (Spanish),Techint Group,Siderca S.A.I.C.,private,Buenos Aires,Argentina,Latin America and the Caribbean,operating,1250,1000,integrated_DRI,"DRI, EAF",https://www.gem.wiki/TenarisSiderca_Seamless_Tubes_Mill_steel_plant,-34.152554,-58.977388
Ternium Siderar steel plant,Planta siderúrgica Ternium Siderar (Spanish),"Techint Group (Ternium S.A.) 60.93%, Administración Nacional de la Seguridad Social de Argentina 26.03%, public shareholders 11.95%, others 1.09%",Ternium Argentina S.A.,private,Buenos Aires,Argentina,Latin America and the Caribbean,operating,3200,3200,integrated_BF,"BF, BOF",https://www.gem.wiki/Ternium_Siderar_steel_plant,-33.37365,-60.138697
Voestalpine Stahl Linz steel plant,,Voestalpine Group,Voestalpine Stahl GmbH,private,Upper Austria,Austria,Western Europe,operating,6000,6000,integrated_BF_and_DRI,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Linz_steel_plant,48.274023,14.33434
Voestalpine Stahl Donawitz steel plant,,Voestalpine Group,Voestalpine Stahl Donawitz Gmbh,private,Styria,Austria,Western Europe,operating,1500,1500,integrated_BF,"BF, BOF",https://www.gem.wiki/Voestalpine_Stahl_Donawitz_steel_plant,47.380455,15.065182
BlueScope Port Kembla steel plant,,BlueScope Steel Ltd,BlueScope Steel Ltd,private,New South Wales,Australia,Australia and New Zealand,operating,2600,3000,integrated_BF,"BF, BOF",https://www.gem.wiki/BlueScope_Port_Kembla_steel_plant,-34.463834,150.886191
GFG Liberty Steel Australia Whyalla steel plant,,GFG Alliance,Liberty Steel,private,South Australia,Australia,Australia and New Zealand,operating,4100,1200,integrated_BF,"BF, EAF",https://www.gem.wiki/GFG_Liberty_Steel_Australia_Whyalla_steel_plant,-33.009381,137.587836
ArcelorMittal Zenica steel plant,,ArcelorMittal,ArcelorMittal Zenica,private,Zenica-Doboj,Bosnia and Herzegovina,Southern Europe,operating,1000,1000,integrated_BF,"BF, BOF, EAF",https://www.gem.wiki/ArcelorMittal_Zenica_steel_plant,44.224446,17.899815
ArcelorMittal Ghent steel plant,,ArcelorMittal,ArcelorMittal Ghent,private,Flemish,Belgium,Western Europe,operating,5500,4900,integrated_BF,"BF, BOF",https://www.gem.wiki/ArcelorMittal_Ghent_steel_plant,51.169929,3.804462
